,OverallQual,Neighborhood,Foundation,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,SalePrice
130,7,NAmes,CBlock,7,2157,2,924,2,1966,226000
131,6,Gilbert,PConc,6,2054,2,992,2,2000,244000
132,5,NAmes,CBlock,5,1327,2,1063,1,1959,150750
133,8,Timber,PConc,8,1296,2,1267,2,2001,220000
134,5,Sawyer,CBlock,5,1721,2,1461,2,1968,180000
135,7,NWAmes,PConc,7,1682,2,1304,2,1970,174000
136,5,NAmes,CBlock,5,1214,1,1214,2,1967,143000
137,7,Mitchel,CBlock,7,1959,3,1907,3,1988,171000
138,8,CollgCr,PConc,8,1852,3,1004,2,1999,230000
139,6,CollgCr,PConc,6,1764,2,928,2,1997,231500
140,4,NAmes,CBlock,4,864,0,864,1,1971,115000
141,7,CollgCr,PConc,7,1734,2,1734,2,2005,260000
142,5,NAmes,CBlock,5,1385,2,910,2,1952,166000
143,7,CollgCr,PConc,7,1501,2,1490,2,1999,204000
144,5,Sawyer,CBlock,5,1728,2,1728,2,1963,125000
145,6,Edwards,PConc,6,1709,2,970,2,2004,130000
146,5,BrkSide,BrkTil,5,875,1,715,1,1931,105000
147,7,Gilbert,PConc,7,2035,2,884,2,2001,222500
148,7,SawyerW,PConc,7,1080,0,1080,1,2004,141000
149,5,BrkSide,BrkTil,5,1344,1,896,1,1936,115000
150,5,CollgCr,CBlock,5,969,2,969,1,1975,122000
151,8,NridgHt,PConc,8,1710,3,1710,2,2007,372402
152,6,NWAmes,CBlock,6,1993,2,825,2,1971,190000
153,6,ClearCr,CBlock,6,1252,2,1602,1,1960,235000
154,6,OldTown,BrkTil,6,1200,1,1200,1,1923,125000
155,6,Edwards,BrkTil,6,1096,0,572,1,1924,79000
156,5,NAmes,CBlock,5,1040,2,0,1,1950,109500
157,8,Timber,PConc,8,1968,3,774,2,2009,269500
158,7,Somerst,PConc,7,1947,2,991,2,2004,254900
159,7,Gilbert,PConc,7,2462,2,1392,2,2005,320000
160,6,Veenker,PConc,6,1232,2,1232,2,1984,162500
161,9,NridgHt,PConc,9,2668,3,1572,2,2003,412500
162,7,NridgHt,PConc,7,1541,2,1541,2,2005,220000
163,4,OldTown,CBlock,4,882,0,882,1,1956,103200
164,6,OldTown,BrkTil,6,1616,1,1149,2,1926,152000
167,8,NridgHt,PConc,8,2161,3,1582,1,2007,325624
168,7,Gilbert,PConc,7,1720,2,840,2,2004,183500
169,8,Timber,CBlock,8,1707,2,1686,2,1981,228000
170,5,OldTown,CBlock,5,1382,2,720,1,1941,128500
171,6,NAmes,CBlock,6,1656,2,1080,1,1960,215000
172,7,StoneBr,PConc,7,1767,2,1064,2,1987,239000
173,6,NAmes,CBlock,6,1362,2,1362,1,1961,163000
174,6,Timber,CBlock,6,1651,2,1606,2,1986,184000
175,6,Edwards,CBlock,6,2158,2,1202,2,1950,243000
176,6,ClearCr,PConc,6,2060,2,1151,2,1988,211000
177,5,Sawyer,CBlock,5,1920,2,1052,2,1958,172500
178,9,StoneBr,PConc,9,2234,3,2216,2,2008,501837
179,5,OldTown,CBlock,5,968,2,968,1,1923,100000
180,6,Somerst,PConc,6,1525,2,756,2,2000,177000
181,7,Crawfor,BrkTil,7,1802,1,793,1,1920,200100
182,5,Edwards,PConc,5,1340,1,0,1,1957,120000
183,7,OldTown,PConc,7,2082,2,1362,2,2003,200000
184,5,BrkSide,PConc,5,1252,2,504,1,1908,127000
186,7,Mitchel,PConc,7,1217,2,1188,2,1990,173000
187,5,OldTown,CBlock,5,1656,1,660,2,1916,135000
189,8,StoneBr,PConc,8,1593,2,1593,1,2001,286000
190,8,Crawfor,CBlock,8,2727,2,853,2,1932,315000
191,7,NAmes,CBlock,7,1479,2,725,1,1972,184000
192,7,CollgCr,PConc,7,1431,2,1431,2,1999,192000
193,7,Edwards,PConc,7,1709,2,970,2,2004,130000
194,5,CollgCr,CBlock,5,864,1,864,1,1972,127000
195,6,NPkVill,CBlock,6,1456,2,855,2,1976,148500
196,7,Somerst,PConc,7,1726,3,1726,2,2007,311872
198,6,OldTown,CBlock,6,2229,0,755,1,1912,104000
199,8,NridgHt,PConc,8,1713,3,1713,2,2004,274900
200,4,Edwards,PConc,4,1121,2,1121,2,2003,140000
201,6,Mitchel,CBlock,6,1279,2,1196,2,1977,171500
202,6,OldTown,BrkTil,6,1310,1,617,2,1924,112000
203,6,CollgCr,PConc,6,848,2,848,1,2004,149000
204,5,OldTown,CBlock,5,1284,1,720,1,1947,110000
205,7,Gilbert,PConc,7,1442,2,1424,2,1990,180500
206,5,Sawyer,CBlock,5,1696,1,1140,1,1962,143900
207,4,NAmes,PConc,4,1100,1,1100,1,1960,141000
208,7,SawyerW,CBlock,7,2062,2,1157,2,1988,277000
209,6,NAmes,CBlock,6,1092,2,1092,1,1964,145000
210,5,Edwards,CBlock,5,864,0,864,1,1925,98000
211,6,Edwards,PConc,6,1212,2,1212,2,2009,186000
212,7,Somerst,PConc,7,1852,2,900,2,2009,252678
213,5,CollgCr,PConc,5,990,2,990,1,1995,156000
214,6,CollgCr,CBlock,6,1392,1,689,1,1977,161750
215,5,NAmes,CBlock,5,1236,1,1070,1,1957,134450
216,7,CollgCr,PConc,7,1436,2,1436,2,2004,210000
217,4,OldTown,CBlock,4,1328,1,686,1,1925,107000
218,7,Crawfor,CBlock,7,1954,2,798,1,1939,311500
219,7,Blmngtn,PConc,7,1248,2,1248,2,2005,167240
220,7,CollgCr,PConc,7,1498,2,1498,2,2006,204900
221,6,Gilbert,PConc,6,2267,2,1010,2,2002,200000
222,6,NWAmes,CBlock,6,1552,2,713,2,1975,179900
223,4,NAmes,CBlock,4,864,2,864,1,1971,97000
224,10,NridgHt,PConc,10,2392,3,2392,2,2003,386250
225,5,BrDale,CBlock,5,1302,1,630,2,1971,112000
226,7,NoRidge,PConc,7,2520,3,1203,2,1995,290000
227,6,BrDale,CBlock,6,987,1,483,1,1970,106000
228,5,Sawyer,CBlock,5,912,1,912,1,1967,125000
229,7,Blmngtn,PConc,7,1555,2,1373,2,2005,192500
230,6,NAmes,CBlock,6,1194,1,1194,1,1959,148000
231,8,NoRidge,PConc,8,2794,3,1462,2,1995,403000
232,6,BrDale,CBlock,6,987,1,483,1,1972,94500
233,5,CollgCr,CBlock,5,894,1,894,1,1976,128200
234,6,Gilbert,PConc,6,1960,2,860,2,2002,216500
235,6,BrDale,CBlock,6,987,1,483,1,1971,89500
236,7,CollgCr,PConc,7,1414,2,1414,2,2004,185500
237,7,SawyerW,PConc,7,1744,2,996,2,1993,194500
238,8,NridgHt,PConc,8,1694,3,1694,2,2007,318000
239,6,Edwards,CBlock,6,1487,1,735,1,1945,113000
240,8,Somerst,PConc,8,1566,2,1566,2,2008,262500
241,5,OldTown,CBlock,5,866,0,686,1,1945,110500
242,5,OldTown,BrkTil,5,1440,1,540,1,1900,79000
243,6,SawyerW,CBlock,6,1217,1,626,1,1980,120000
244,7,SawyerW,PConc,7,2110,2,948,2,1994,205000
245,7,NWAmes,CBlock,7,1872,2,1845,2,1988,241500
247,6,NAmes,CBlock,6,1375,2,1367,1,1954,140000
248,7,CollgCr,PConc,7,1668,2,840,2,2003,180000
250,3,BrkSide,CBlock,3,1306,0,728,1,1940,76500
251,8,Crawfor,PConc,8,1625,2,1573,2,2006,235000
252,6,SawyerW,PConc,6,1640,2,798,2,2004,173000
253,6,NAmes,CBlock,6,1302,1,1302,2,1964,158000
254,5,NAmes,CBlock,5,1314,1,1314,1,1957,145000
255,7,Gilbert,PConc,7,2291,2,975,2,1999,230000
256,6,Somerst,PConc,6,1728,2,864,2,2003,207500
257,7,CollgCr,PConc,7,1604,2,1604,2,2006,220000
258,7,CollgCr,PConc,7,1792,2,963,2,2001,231500
259,5,OldTown,PConc,5,882,1,0,1,1956,97000
260,6,NAmes,CBlock,6,1382,2,1362,1,1962,176000
261,8,CollgCr,PConc,8,2574,3,1482,2,2007,276000
262,6,Sawyer,CBlock,6,1212,2,506,1,1977,151000
263,5,OldTown,BrkTil,5,1316,2,926,1,1929,130000
264,5,OldTown,BrkTil,5,764,2,680,1,1925,73000
265,6,NWAmes,CBlock,6,1422,2,1422,2,1981,175500
266,6,Gilbert,PConc,6,1511,2,802,2,1997,185000
267,5,SWISU,PConc,5,2192,1,720,2,1939,179500
268,5,IDOTRR,CBlock,5,778,1,740,1,1940,120500
269,6,Edwards,CBlock,6,1113,1,1143,1,1976,148000
270,8,Somerst,PConc,8,1939,3,1095,2,2006,266000
272,8,NoRidge,PConc,8,2270,3,1152,2,1999,290000
273,6,NAmes,CBlock,6,1632,1,1240,2,1958,139000
274,5,Mitchel,CBlock,5,816,1,816,1,1982,124500
275,7,BrkSide,BrkTil,7,1548,2,952,2,1925,205000
276,7,Mitchel,PConc,7,1560,2,1560,2,2003,201000
277,4,Gilbert,CBlock,4,864,2,864,1,1951,141000
278,9,NridgHt,PConc,9,2121,3,2121,2,2006,415298
279,7,ClearCr,CBlock,7,2022,2,1160,2,1977,192000
280,7,SawyerW,CBlock,7,1982,2,807,2,1989,228500
281,6,Somerst,PConc,6,1262,2,1262,2,2006,185000
282,7,NridgHt,PConc,7,1314,2,1314,2,2007,207500
283,8,Somerst,PConc,8,1468,3,1468,2,2008,244600
284,6,SawyerW,PConc,6,1575,2,1575,2,1992,179200
285,7,Somerst,PConc,7,1250,2,625,2,2006,164700
286,6,NAmes,CBlock,6,1734,2,912,1,1962,159000
287,4,NAmes,CBlock,4,858,0,858,1,1971,88000
288,5,Sawyer,CBlock,5,900,1,882,1,1967,122000
289,6,BrkSide,BrkTil,6,1396,1,698,1,1915,153575
290,8,CollgCr,PConc,8,1919,2,1079,2,2006,233230
292,5,Edwards,CBlock,5,1716,1,768,1,1949,131000
293,7,NWAmes,CBlock,7,2263,2,795,2,1977,235000
294,6,NAmes,CBlock,6,1644,2,1416,1,1953,167000
295,6,Mitchel,CBlock,6,1003,2,1003,1,1984,142500
296,5,IDOTRR,CBlock,5,1558,1,910,1,1950,152000
297,7,Somerst,PConc,7,1950,2,975,2,1997,239000
298,6,NWAmes,CBlock,6,1743,2,702,1,1968,175000
299,6,Crawfor,CBlock,6,1152,1,1092,1,1950,158500
300,5,Crawfor,CBlock,5,1336,1,1165,1,1953,157000
301,8,CollgCr,PConc,8,2452,2,1028,2,1998,267000
302,7,CollgCr,PConc,7,1541,3,1541,2,2001,205000
303,5,CollgCr,PConc,5,894,2,894,1,1972,149900
304,7,OldTown,BrkTil,7,3493,3,1470,3,1880,295000
305,8,CollgCr,PConc,8,2000,3,2000,2,2004,305900
306,7,SawyerW,CBlock,7,2243,3,700,2,1990,225000
307,6,IDOTRR,CBlock,6,1406,0,319,1,1920,89500
308,4,Edwards,CBlock,4,861,2,861,1,1940,82500
309,9,NridgHt,PConc,9,1944,3,1896,2,2003,360000
310,6,Gilbert,PConc,6,1501,2,697,2,1993,165600
311,6,NAmes,CBlock,6,972,1,972,1,1948,132000
312,5,OldTown,CBlock,5,1118,2,793,1,1939,119900
314,7,OldTown,BrkTil,7,1641,2,728,1,1925,178000
315,7,Gilbert,PConc,7,1432,2,716,2,2004,188500
316,7,NWAmes,CBlock,7,2353,2,845,2,1980,260000
317,8,Somerst,PConc,8,1959,3,1088,2,2006,270000
318,7,NoRidge,PConc,7,2646,3,1347,2,1993,260000
319,7,NWAmes,CBlock,7,1472,2,1372,2,1980,187500
320,9,NridgHt,PConc,9,2596,3,1249,3,2006,342643
321,8,NridgHt,PConc,8,2468,3,1136,2,2004,354000
322,7,SawyerW,CBlock,7,2730,2,1502,2,1986,301000
323,3,OldTown,CBlock,3,1163,1,1162,1,1955,126175
324,7,NAmes,CBlock,7,2978,2,710,2,1967,242000
325,5,IDOTRR,CBlock,5,803,2,720,1,1941,87000
326,8,Veenker,PConc,8,1719,2,1719,1,1993,324000
327,6,NAmes,CBlock,6,1383,1,1383,1,1960,145250
328,6,BrkSide,BrkTil,6,2134,2,844,2,1916,214500
329,5,IDOTRR,PConc,5,1192,1,596,1,1920,78000
330,5,NAmes,CBlock,5,1728,1,1728,2,1964,119000
331,5,NAmes,CBlock,5,1056,1,1056,1,1958,139000
332,8,NridgHt,PConc,8,1629,3,3206,2,2003,284000
333,7,NridgHt,PConc,7,1358,2,1358,2,2004,207000
334,6,Gilbert,PConc,6,1638,2,943,2,1998,192000
336,9,StoneBr,PConc,9,1922,3,1922,2,2005,377426
337,7,CollgCr,PConc,7,1536,2,1536,2,2002,214000
338,7,NWAmes,CBlock,7,1621,2,1208,2,1984,202500
339,6,NAmes,CBlock,6,1215,1,1215,1,1958,155000
340,8,Timber,PConc,8,1908,2,967,2,2002,202900
341,4,SawyerW,CBlock,4,841,1,721,1,1950,82000
342,3,NAmes,Slab,3,1040,2,0,2,1949,87500
343,9,NridgHt,PConc,9,1684,2,1684,2,2005,266000
344,5,MeadowV,CBlock,5,1112,1,536,1,1976,85000
345,6,BrkSide,BrkTil,6,1577,1,972,1,1939,140200
346,6,NAmes,CBlock,6,958,1,958,1,1960,151500
347,6,NAmes,CBlock,6,1478,2,1478,2,1960,157500
348,7,NridgHt,PConc,7,1626,2,764,2,2003,154000
349,9,NridgHt,PConc,9,2728,3,1848,2,2005,437154
350,9,NridgHt,PConc,9,1869,2,1869,2,2007,318061
351,7,ClearCr,PConc,7,1453,2,1453,1,1986,190000
352,5,Edwards,CBlock,5,1111,1,616,1,1941,95000
353,6,OldTown,BrkTil,6,720,2,624,1,1928,105900
354,6,SWISU,CBlock,6,1595,1,940,1,1940,140000
355,6,CollgCr,PConc,6,1200,2,1200,2,1995,177500
356,6,Gilbert,PConc,6,1167,2,1158,2,1992,173000
357,5,MeadowV,PConc,5,1142,2,1142,1,1976,134000
358,5,ClearCr,CBlock,5,1352,1,1062,1,1958,130000
359,8,NoRidge,PConc,8,1924,2,1086,2,1998,280000
360,6,Mitchel,CBlock,6,912,2,888,1,1978,156000
361,5,BrkSide,CBlock,5,1505,1,883,1,1940,145000
362,7,Edwards,Slab,7,1922,2,0,3,2003,198500
363,6,BrDale,CBlock,6,987,1,483,1,1972,118000
364,6,NWAmes,PConc,6,1574,2,796,2,1976,190000
365,5,IDOTRR,CBlock,5,1344,1,672,1,1920,147000
366,6,NAmes,CBlock,6,1394,2,1394,1,1963,159000
367,6,NAmes,CBlock,6,1431,1,1099,1,1962,165000
368,5,NAmes,PConc,5,1268,1,1268,1,1954,132000
369,5,NAmes,CBlock,5,1287,2,1063,1,1959,162000
370,6,Gilbert,PConc,6,1664,2,953,2,2000,172400
371,4,ClearCr,CBlock,4,1588,2,0,2,1959,134432
372,6,SawyerW,CBlock,6,752,1,744,1,1984,125000
373,5,NAmes,PConc,5,1319,1,608,1,1953,123000
374,7,CollgCr,PConc,7,1928,2,847,2,2003,219500
376,5,CollgCr,PConc,5,914,2,870,1,1996,148000
377,8,Somerst,PConc,8,2466,2,1580,3,2004,340000
378,9,StoneBr,PConc,9,1856,3,1856,1,2010,394432
379,6,Gilbert,PConc,6,1800,2,982,2,2000,179000
380,5,SWISU,BrkTil,5,1691,1,1026,2,1924,127000
381,7,Somerst,PConc,7,1301,2,1293,2,2006,187750
382,7,CollgCr,PConc,7,1797,2,939,2,2006,213500
383,6,SawyerW,BrkTil,6,784,2,784,1,1928,76000
384,6,ClearCr,PConc,6,1953,2,1580,2,1992,240000
385,8,Blmngtn,PConc,8,1269,2,1256,2,2004,192000
386,5,Edwards,PConc,5,1184,0,658,1,1910,81000
387,6,Edwards,CBlock,6,1125,1,1041,1,1976,125000
388,7,CollgCr,PConc,7,1479,2,1468,2,1999,191000
389,10,NridgHt,PConc,10,2332,3,1682,2,2007,426000
390,5,Edwards,BrkTil,5,1367,1,861,1,1900,119000
391,6,Mitchel,PConc,6,1961,2,804,2,2001,215000
392,5,NAmes,Slab,5,882,1,0,1,1959,106500
393,4,BrkSide,CBlock,4,788,0,788,1,1941,100000
394,5,OldTown,CBlock,5,1034,1,735,1,1940,109000
395,5,Edwards,CBlock,5,1144,1,1144,1,1956,129000
396,5,CollgCr,CBlock,5,894,2,894,1,1972,123000
397,5,NAmes,CBlock,5,1812,1,864,2,1962,169500
398,5,IDOTRR,BrkTil,5,1077,1,961,1,1920,67000
399,7,Somerst,PConc,7,1550,2,1092,2,2006,241000
400,8,Veenker,PConc,8,1288,2,1260,1,1996,245500
401,7,CollgCr,PConc,7,1310,2,1310,2,2005,164990
402,5,Sawyer,PConc,5,672,1,672,1,1940,108000
403,8,NoRidge,PConc,8,2263,2,1141,2,1998,258000
404,6,Gilbert,PConc,6,1572,2,806,2,1995,168000
405,4,Sawyer,CBlock,4,1620,2,1281,2,1976,150000
406,6,SWISU,BrkTil,6,1639,1,1064,1,1936,115000
407,6,Crawfor,BrkTil,6,1680,1,840,2,1915,177000
408,7,NridgHt,PConc,7,2172,3,1063,2,2006,280000
409,8,Somerst,PConc,8,2078,3,1034,2,2007,339750
410,5,Edwards,CBlock,5,1276,1,1276,1,1958,60000
411,5,Gilbert,CBlock,5,1056,2,1056,1,1955,145000
412,7,Somerst,PConc,7,1478,2,1470,2,2009,222000
413,5,OldTown,CBlock,5,1028,2,1008,1,1927,115000
414,7,SawyerW,PConc,7,2097,3,1080,2,1993,228000
415,7,Gilbert,PConc,7,1340,2,1340,2,2007,181134
416,6,Sawyer,CBlock,6,1400,2,672,1,1978,149500
418,5,Edwards,BrkTil,5,1134,1,756,1,1940,126000
419,5,NAmes,CBlock,5,1056,1,1056,1,1968,142000
420,7,Mitchel,PConc,7,1344,4,1344,2,1997,206300
421,6,NWAmes,CBlock,6,1602,2,1602,2,1977,215000
422,5,Mitchel,CBlock,5,988,2,988,1,1954,113000
423,8,NoRidge,PConc,8,2630,3,1470,2,1998,315000
424,6,NAmes,CBlock,6,1196,1,1196,1,1956,139000
425,7,OldTown,CBlock,7,1389,1,651,1,1946,135000
426,7,SawyerW,PConc,7,1644,2,1518,2,1989,275000
427,4,NAmes,CBlock,4,907,1,907,1,1957,109008
428,7,CollgCr,PConc,7,1208,2,1208,2,2007,195400
429,6,Timber,CBlock,6,1412,2,1392,2,1988,175000
430,6,BrDale,CBlock,6,987,1,483,1,1971,85400
431,6,OldTown,BrkTil,6,1198,0,901,1,1920,79900
432,5,BrDale,CBlock,5,1365,2,765,1,1971,122500
433,6,Gilbert,PConc,6,1604,2,926,2,1997,181000
434,4,MeadowV,CBlock,4,630,0,630,1,1972,81000
435,7,CollgCr,PConc,7,1661,2,799,2,1996,212000
436,6,OldTown,BrkTil,6,1118,2,648,1,1920,116000
437,6,BrkSide,PConc,6,904,1,884,1,1926,119000
438,5,Crawfor,PConc,5,694,1,440,1,1913,90350
439,6,Edwards,BrkTil,6,1196,2,684,1,1920,110000
441,4,Edwards,CBlock,4,1440,0,1440,2,1955,118000
442,5,BrkSide,PConc,5,1573,2,1078,2,1930,162900
443,7,Blmngtn,PConc,7,1258,3,1258,2,2006,172500
444,7,CollgCr,PConc,7,1908,2,915,2,1994,210000
445,6,Edwards,CBlock,6,1689,2,1436,1,1956,127500
446,6,NAmes,CBlock,6,1888,2,1517,2,1966,190000
447,7,Gilbert,PConc,7,1886,2,930,2,1998,199900
448,6,IDOTRR,BrkTil,6,1376,1,780,2,1937,119500
449,3,OldTown,CBlock,3,1183,1,649,1,1948,120000
450,6,OldTown,BrkTil,6,813,1,813,1,1930,110000
451,7,ClearCr,CBlock,7,1533,2,1533,2,1975,280000
452,6,Timber,PConc,6,1756,2,872,2,1996,204000
453,8,Somerst,PConc,8,1590,2,768,2,2008,210000
454,5,Mitchel,CBlock,5,1728,2,1728,2,1976,188000
455,7,NWAmes,CBlock,7,1242,2,1242,1,1973,175500
457,4,ClearCr,CBlock,4,1663,2,1364,1,1954,256000
458,8,OldTown,PConc,8,1666,1,588,1,1925,161000
459,5,BrkSide,CBlock,5,1203,1,709,1,1950,110000
460,8,Somerst,PConc,8,1935,2,832,2,2009,263435
461,7,SWISU,PConc,7,1135,2,560,1,1936,155000
462,5,Sawyer,CBlock,5,864,1,864,1,1965,62383
463,6,Crawfor,CBlock,6,1660,1,715,1,1934,188700
464,5,CollgCr,CBlock,5,1040,0,1040,2,1978,124000
465,7,Blmngtn,PConc,7,1414,2,1375,2,2004,178740
